judge	satnorm	weighting	target	metric	n_prompts	core	rand	best_ho	best_in	top_w	top_pop	full	target_reliab	delta_core	ci_lo	ci_hi	eta	eta_lo	eta_hi	eta_in	eta_topw	core_minus_topw	cmt_lo	cmt_hi	core_minus_reliab	cmr_lo	cmr_hi	retention	effect_over_floor	p	bh_survives	K5_admissible
phi	raw	signed	world	veto	285	0.5997	0.5614	0.6751	0.8133	0.5921	0.5892	0.6074	-0.1696	0.0385	0.0114	0.0650	0.3451	0.0986	0.6050	0.1531	0.2739	0.0079	-0.0229	0.0391	0.7699	0.7284	0.8092	0.9879	2.84	0.00600	1	1
phi	z	uniform	intrinsic	tau_b	966	0.5870	0.4526	0.5852	0.9458	0.6339	0.4803	0.5393	0.5687	0.1345	0.1192	0.1501	1.0157	0.8945	1.1498	0.2726	1.3702	-0.0468	-0.0624	-0.0304	0.0182	0.0000	0.0371	1.0888	17.12	0.00050	1	1
phi	z	uniform	intrinsic	top1	966	0.5999	0.4957	0.5924	0.9430	0.6492	0.5353	0.5386	0.5876	0.1042	0.0846	0.1244	1.0836	0.8511	1.3807	0.2330	1.6003	-0.0496	-0.0716	-0.0275	0.0122	-0.0123	0.0368	1.1136	10.35	0.00050	1	1
phi	z	uniform	intrinsic	pair	966	0.7935	0.7263	0.7926	0.9729	0.8169	0.7402	0.7697	0.7842	0.0671	0.0594	0.0753	1.0177	0.8990	1.1502	0.2722	1.3721	-0.0233	-0.0316	-0.0153	0.0093	-0.0001	0.0183	1.0311	16.61	0.00050	1	1
phi	z	uniform	personal	tau_b	291	0.2607	0.1723	0.3629	0.4642	0.2716	0.1668	0.2026	-0.1565	0.0881	0.0691	0.1079	0.4642	0.3671	0.5676	0.3022	0.5221	-0.0111	-0.0342	0.0118	0.4170	0.3850	0.4479	1.2875	8.88	0.00050	1	1
phi	z	uniform	personal	top1	291	0.4301	0.3769	0.5097	0.5958	0.4502	0.3725	0.3863	-0.1240	0.0532	0.0317	0.0765	0.4020	0.2411	0.5741	0.2430	0.5553	-0.0203	-0.0464	0.0060	0.5543	0.5220	0.5859	1.1138	4.63	0.00050	1	1
phi	z	uniform	personal	pair	291	0.6399	0.5933	0.6949	0.7493	0.6460	0.5895	0.6096	-0.0838	0.0466	0.0363	0.0574	0.4595	0.3571	0.5653	0.2990	0.5185	-0.0060	-0.0180	0.0062	0.7236	0.7067	0.7411	1.0500	8.68	0.00050	1	1
phi	z	uniform	personal	veto	285	0.6148	0.5320	0.6635	0.7767	0.6037	0.5262	0.5626	-0.1698	0.0827	0.0571	0.1080	0.6334	0.4423	0.8505	0.3375	0.5519	0.0108	-0.0194	0.0432	0.7839	0.7442	0.8216	1.0935	6.47	0.00050	1	1
phi	z	uniform	world	tau_b	966	0.3029	0.1932	0.4167	0.5009	0.2921	0.1871	0.2250	-0.1176	0.1098	0.0983	0.1219	0.4915	0.4447	0.5400	0.3567	0.4432	0.0108	-0.0032	0.0244	0.4204	0.4043	0.4366	1.3486	18.29	0.00050	1	1
phi	z	uniform	world	top1	966	0.4841	0.4110	0.5824	0.6485	0.4804	0.4042	0.4299	-0.0847	0.0732	0.0603	0.0869	0.4270	0.3558	0.5017	0.3081	0.4050	0.0038	-0.0112	0.0189	0.5690	0.5517	0.5859	1.1267	10.96	0.00050	1	1
phi	z	uniform	world	pair	966	0.6641	0.6047	0.7249	0.7706	0.6582	0.6011	0.6219	-0.0640	0.0592	0.0530	0.0658	0.4930	0.4431	0.5439	0.3572	0.4459	0.0057	-0.0016	0.0128	0.7280	0.7190	0.7371	1.0678	18.21	0.00050	1	1
phi	z	uniform	world	veto	285	0.6148	0.5320	0.6635	0.7767	0.6037	0.5262	0.5626	-0.1696	0.0826	0.0581	0.1077	0.6321	0.4541	0.8303	0.3371	0.5474	0.0112	-0.0178	0.0410	0.7845	0.7476	0.8206	1.0927	6.52	0.00050	1	1
phi	z	signed	intrinsic	tau_b	966	0.5870	0.5265	0.5697	0.9986	0.6382	0.6143	0.7658	0.5684	0.0606	0.0456	0.0757	1.4416	1.0000	2.0726	0.1283	2.6725	-0.0514	-0.0669	-0.0349	0.0187	0.0009	0.0365	0.7668	7.90	0.00050	1	1
phi	z	signed	intrinsic	top1	966	0.5999	0.5770	0.5877	0.9996	0.6476	0.6352	0.7683	0.5878	0.0229	0.0030	0.0426	-0.0501	-14.5988	14.5192	0.0543	0.7251	-0.0480	-0.0709	-0.0253	0.0123	-0.0120	0.0369	0.7807	2.29	0.02900	1	0
phi	z	signed	intrinsic	pair	966	0.7935	0.7633	0.7849	0.9993	0.8191	0.8071	0.8829	0.7843	0.0303	0.0222	0.0381	1.4357	0.9697	2.0763	0.1284	2.6489	-0.0255	-0.0342	-0.0172	0.0092	-0.0002	0.0185	0.8988	7.62	0.00050	1	1
phi	z	signed	personal	tau_b	291	0.2607	0.2125	0.3901	0.5163	0.2710	0.2486	0.2748	-0.1566	0.0482	0.0228	0.0722	0.2720	0.1300	0.4103	0.1585	0.3310	-0.0104	-0.0339	0.0127	0.4173	0.3860	0.4492	0.9497	3.83	0.00050	1	1
phi	z	signed	personal	top1	291	0.4301	0.4030	0.5488	0.6460	0.4537	0.4242	0.4339	-0.1243	0.0266	0.0017	0.0521	0.1836	0.0112	0.3600	0.1095	0.3467	-0.0236	-0.0489	0.0024	0.5539	0.5215	0.5861	0.9912	2.03	0.03500	1	1
phi	z	signed	personal	pair	291	0.6399	0.6145	0.7095	0.7769	0.6457	0.6341	0.6482	-0.0838	0.0254	0.0119	0.0387	0.2679	0.1284	0.4119	0.1562	0.3300	-0.0058	-0.0181	0.0069	0.7239	0.7068	0.7406	0.9872	3.68	0.00050	1	1
phi	z	signed	personal	veto	285	0.6148	0.5675	0.6700	0.8115	0.5990	0.5843	0.6295	-0.1696	0.0474	0.0213	0.0721	0.4691	0.2076	0.7412	0.1942	0.3126	0.0160	-0.0143	0.0453	0.7844	0.7483	0.8216	0.9774	3.73	0.00100	1	1
phi	z	signed	world	tau_b	966	0.3029	0.2355	0.4383	0.5416	0.2937	0.2876	0.3107	-0.1175	0.0673	0.0541	0.0803	0.3323	0.2677	0.3941	0.2200	0.2872	0.0092	-0.0041	0.0232	0.4203	0.4030	0.4367	0.9751	10.05	0.00050	1	1
phi	z	signed	world	top1	966	0.4841	0.4369	0.6058	0.6815	0.4847	0.4712	0.4841	-0.0850	0.0471	0.0323	0.0609	0.2789	0.1952	0.3591	0.1924	0.2830	-0.0007	-0.0160	0.0149	0.5689	0.5519	0.5861	0.9998	6.58	0.00050	1	1
phi	z	signed	world	pair	966	0.6641	0.6277	0.7363	0.7924	0.6590	0.6560	0.6684	-0.0641	0.0363	0.0292	0.0429	0.3346	0.2719	0.3959	0.2204	0.2880	0.0051	-0.0022	0.0126	0.7281	0.7188	0.7372	0.9936	10.34	0.00050	1	1
phi	z	signed	world	veto	285	0.6148	0.5675	0.6700	0.8115	0.5990	0.5843	0.6295	-0.1697	0.0472	0.0208	0.0727	0.4665	0.2053	0.7529	0.1933	0.3112	0.0160	-0.0132	0.0468	0.7841	0.7476	0.8210	0.9771	3.66	0.00050	1	1
qwen3b	raw	uniform	intrinsic	tau_b	966	0.5724	0.4320	0.6042	0.9707	0.6076	0.4746	0.5908	0.5992	0.1402	0.1214	0.1588	0.8135	0.7081	0.9198	0.2601	1.0189	-0.0353	-0.0553	-0.0141	-0.0273	-0.0473	-0.0074	0.9687	14.96	0.00050	1	1
qwen3b	raw	uniform	intrinsic	top1	966	0.6612	0.5519	0.6898	0.9859	0.6963	0.5726	0.6708	0.6858	0.1091	0.0879	0.1309	0.7938	0.6357	0.9624	0.2513	1.0526	-0.0355	-0.0611	-0.0105	-0.0250	-0.0496	-0.0004	0.9859	9.99	0.00050	1	1
qwen3b	raw	uniform	intrinsic	pair	966	0.7862	0.7160	0.8021	0.9854	0.8038	0.7373	0.7954	0.7996	0.0702	0.0612	0.0790	0.8169	0.7114	0.9283	0.2605	1.0220	-0.0176	-0.0278	-0.0072	-0.0133	-0.0232	-0.0032	0.9884	14.88	0.00050	1	1
qwen3b	raw	uniform	personal	tau_b	291	0.2912	0.1869	0.3803	0.5010	0.2991	0.2016	0.2382	-0.1564	0.1046	0.0812	0.1278	0.5405	0.4318	0.6439	0.3326	0.5840	-0.0084	-0.0345	0.0193	0.4478	0.4194	0.4767	1.2258	8.86	0.00050	1	1
qwen3b	raw	uniform	personal	top1	291	0.4812	0.4042	0.5398	0.6322	0.4940	0.4065	0.4342	-0.1242	0.0769	0.0533	0.1009	0.5702	0.3946	0.7633	0.3380	0.6658	-0.0130	-0.0422	0.0149	0.6054	0.5749	0.6337	1.1083	6.24	0.00050	1	1
qwen3b	raw	uniform	personal	pair	291	0.6570	0.6011	0.7051	0.7689	0.6611	0.6090	0.6284	-0.0838	0.0558	0.0437	0.0689	0.5379	0.4309	0.6502	0.3326	0.5778	-0.0042	-0.0177	0.0102	0.7406	0.7243	0.7558	1.0454	8.74	0.00050	1	1
qwen3b	raw	uniform	personal	veto	285	0.5798	0.5261	0.6730	0.8114	0.6085	0.5608	0.5640	-0.1695	0.0534	0.0249	0.0812	0.3657	0.1737	0.5584	0.1872	0.5648	-0.0290	-0.0630	0.0042	0.7491	0.7112	0.7876	1.0273	3.70	0.00200	1	1
qwen3b	raw	uniform	world	tau_b	966	0.3094	0.2102	0.4340	0.5304	0.3213	0.2002	0.2667	-0.1174	0.0992	0.0858	0.1120	0.4433	0.3878	0.4979	0.3098	0.4961	-0.0118	-0.0259	0.0027	0.4271	0.4102	0.4440	1.1597	14.63	0.00050	1	1
qwen3b	raw	uniform	world	top1	966	0.5113	0.4416	0.5978	0.6716	0.5270	0.4201	0.4840	-0.0848	0.0697	0.0568	0.0824	0.4463	0.3637	0.5292	0.3032	0.5463	-0.0156	-0.0312	-0.0005	0.5962	0.5790	0.6123	1.0567	10.61	0.00050	1	1
qwen3b	raw	uniform	world	pair	966	0.6675	0.6142	0.7345	0.7866	0.6744	0.6085	0.6443	-0.0640	0.0533	0.0458	0.0604	0.4428	0.3837	0.5009	0.3091	0.4992	-0.0068	-0.0153	0.0015	0.7315	0.7221	0.7408	1.0359	14.17	0.00050	1	1
qwen3b	raw	uniform	world	veto	285	0.5798	0.5261	0.6730	0.8114	0.6085	0.5608	0.5640	-0.1692	0.0540	0.0269	0.0812	0.3689	0.1843	0.5680	0.1892	0.5640	-0.0286	-0.0627	0.0049	0.7491	0.7100	0.7866	1.0289	3.84	0.00050	1	1
qwen3b	raw	signed	intrinsic	tau_b	966	0.5724	0.5152	0.6002	0.9967	0.6062	0.6086	0.7839	0.5993	0.0573	0.0392	0.0750	0.6752	0.4636	0.8919	0.1190	1.0752	-0.0338	-0.0541	-0.0127	-0.0268	-0.0469	-0.0074	0.7304	6.31	0.00050	1	1
